Instance;d;k;w_bound;Time;OurObj;intercept;slopes
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;25;301179;104.433298;-0.062296;0.000000~1.108966~0.924924~0.000000~1.167854~0.684126~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;50;300005;115.479768;0.206509;0.808814~0.000000~0.910245~0.971347~0.000000~0.779852~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;100;300005;109.898526;0.526720;0.000000~0.000000~1.046967~1.009501~0.904198~0.901621~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_10_-1.dat;10;150;10;300017;130.670997;0.013934;0.871244~0.909290~0.912901~0.000000~0.000000~0.949940~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_10_-1.dat;10;150;25;300007;130.670997;0.013934;0.871244~0.909290~0.912901~0.000000~0.000000~0.949940~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_10_-1.dat;10;150;50;300011;139.358463;-0.101795;0.858123~0.000000~0.862452~0.809302~0.000000~0.896302~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_10_-1.dat;10;150;100;300006;130.670997;0.013934;0.871244~0.909290~0.912901~0.000000~0.000000~0.949940~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_20_-1.dat;20;150;10;299282;146.322685;-0.017670;0.913661~0.000000~1.047039~0.999566~0.000000~0.870513~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_20_-1.dat;20;150;25;300007;160.678260;0.143396;0.000000~0.913271~1.025320~0.000000~1.021951~1.093074~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_20_-1.dat;20;150;50;300008;155.407026;0.177465;0.886452~0.858019~1.031036~0.000000~0.000000~1.106061~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
