Instance;d;k;w_bound;Time;OurObj;intercept;slopes
../src/instance_set/generated_instances/toy_150_10_-1.dat;10;150;1000;300010;16.466647;-2.394247;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_20_-1.dat;20;150;10;300009;18.202275;1.106045;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_20_-1.dat;20;150;100;300008;18.202275;1.106045;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_20_-1.dat;20;150;1000;300009;18.202275;1.106045;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_30_-1.dat;30;150;10;300008;12.502322;0.180643;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_30_-1.dat;30;150;100;300010;12.502322;0.180643;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_30_-1.dat;30;150;1000;300008;12.502322;0.180643;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10;432;2.706694;-2.070562;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;100;293;2.706694;-2.070562;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;1000;292;2.706694;-2.070562;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10;285;3.490692;0.352011;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;100;291;3.490692;0.352011;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;1000;283;3.490692;0.352011;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10;301;3.990774;0.217779;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;100;319;3.990774;0.217779;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;1000;310;3.990774;0.217779;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_10_-2.dat;10;100;10;5076;6.020797;0.110082;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_10_-2.dat;10;100;100;5012;6.020797;0.110082;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_10_-2.dat;10;100;1000;5056;6.020797;0.110082;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_20_-2.dat;20;100;10;8702;8.243012;0.538382;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_20_-2.dat;20;100;100;8665;8.243012;0.538382;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_20_-2.dat;20;100;1000;8691;8.243012;0.538382;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_30_-2.dat;30;100;10;10905;8.626990;0.079212;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_30_-2.dat;30;100;100;10980;8.626990;0.079212;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_100_30_-2.dat;30;100;1000;10997;8.626990;0.079212;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_10_-2.dat;10;150;10;300008;19.439671;-1.213267;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_10_-2.dat;10;150;100;300008;19.439671;-1.213267;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_10_-2.dat;10;150;1000;300009;19.439671;-1.213267;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_20_-2.dat;20;150;10;300009;24.989617;0.105062;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_20_-2.dat;20;150;100;300008;24.989617;0.105062;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_20_-2.dat;20;150;1000;300008;24.989617;0.105062;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_30_-2.dat;30;150;10;300007;13.461162;-0.691834;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_30_-2.dat;30;150;100;300007;13.461162;-0.691834;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_150_30_-2.dat;30;150;1000;300006;13.461162;-0.691834;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10;344;2.938936;-1.641818;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;100;342;2.938936;-1.641818;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;1000;347;2.938936;-1.641818;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10;149;2.792741;-1.068433;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;100;147;2.792741;-1.068433;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;1000;149;2.792741;-1.068433;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
