Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;3;0;-981.453508;0.414872;0.772074~1.099901~0.890298~0.000000~0.458857~0.000000~0.000000~-0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;1;0;-290.541250;0.301653;0.885373~1.406137~0.492787~0.612635~0.804822~0.186939~0.745632~0.000000~0.351517
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;3;0;-1097.277469;0.607465;0.637554~1.431001~0.484399~0.992169~1.072077~0.417143~0.807833~0.000000~0.944697
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;1;0;-201.051134;-1.658840;1.864203~0.000000~-1.875389~2.087380~0.000000~0.932563~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;3;0;-892.725500;0.051457;1.576322~0.765102~0.000000~1.526175~0.864535~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;1;1;-301.064598;-0.789043;1.413937~0.402540~-1.911768~2.501747~0.655231~0.500371~0.000000~0.283413~1.075212
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;3;0;-895.389342;0.516783;1.195605~0.707465~0.430830~1.026930~0.634564~0.000000~-0.129883~-0.172520~0.164653
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;1;0;-360.025811;-1.278901;0.000000~1.200807~1.598549~0.837706~1.218447~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;3;0;-1191.658774;-1.092085;0.000000~1.317835~1.758652~0.000000~0.800439~0.000000~0.000000~0.000000~0.645757
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;1;0;-296.656658;-0.852866;1.679358~0.860527~0.789332~0.354834~0.669469~-0.670031~0.121207~0.000000~0.975940
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;3;0;-1214.261243;-1.012778;0.148919~1.366807~1.329527~0.541842~1.140343~0.000000~-0.241701~0.141478~0.296989
