Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;3;0;16.123982;0.414872;0.772074~1.099901~0.890298~0.000000~0.458857~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;1;0;69.684423;0.301653;0.885373~1.406137~0.492787~0.612635~0.804822~0.186939~0.745632~0.000000~0.351517
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;3;0;8.078371;0.607465;0.637552~1.431002~0.484399~0.992169~1.072078~0.417144~0.807835~0.000000~0.944700
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;1;0;49.348179;-1.658840;1.864203~0.000000~-1.875389~2.087380~0.000000~0.932563~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;3;0;11.690866;0.051458;1.576321~0.765103~0.000000~1.526176~0.864536~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;1;0;41.925586;-0.789042;1.413936~0.402540~-1.911768~2.501748~0.655231~0.500371~0.000000~0.283414~1.075213
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;3;0;10.905685;0.516781;1.195606~0.707463~0.430830~1.026927~0.634564~0.000000~-0.129882~-0.172519~0.164651
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;1;0;52.925626;-1.278901;0.000000~1.200807~1.598549~0.837706~1.218447~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;3;0;10.044868;-1.092083;0.000000~1.317834~1.758654~0.000000~0.800438~0.000000~0.000000~0.000000~0.645758
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;1;0;47.578511;-0.852866;1.679358~0.860527~0.789332~0.354834~0.669469~-0.670031~0.121207~0.000000~0.975940
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;3;0;7.126825;-1.012780;0.148917~1.366808~1.329528~0.541842~1.140343~0.000000~-0.241701~0.141477~0.296988
